ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
182,8052500.0,4326166.666666667,3290500.0,315250.0,448133.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.057068778,-0.072998758,0.015929517,-4.629999999956891e-07,0.99999998,0.99871524,0.3081236678291306
183,11215833.333333334,5200833.333333333,4496500.0,295150.0,394800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10807918,0.11363407,-0.22171694,-3.6900000000006372e-06,0.99999927,0.96064513,0.00291542428699539
184,7857500.0,5708833.333333333,5018500.0,317950.0,390533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.054727399,-0.086962509,0.032235065,-4.4999999990191775e-08,0.99999998,0.99886556,0.14047321588101144
185,10500833.333333334,6424833.333333334,5216500.0,251050.0,430000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12976778,-0.25412357,0.15780135,0.033445559999999985,0.99997848,0.99845545,0.05833664843795228
186,13035833.333333334,3488166.6666666665,3362500.0,310750.0,431866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11848067,0.079840415,-0.20912407,-0.010802984999999987,0.99999759,0.97259285,9.144933261977685e-05
187,7987500.0,6309833.333333333,4919500.0,290050.0,392400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.064414976,-0.21616926,0.15175499,7.059999999892153e-07,0.99999916,0.99914785,0.10811845595717127
188,8659166.666666666,3271500.0,3164500.0,279250.0,458266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.082255988,0.084150882,-0.16561889,0.0007879799999999937,0.99998568,0.98135818,0.009469518491692757
189,11280833.333333334,5542166.666666667,4100500.0,304150.0,390800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.1032862,-0.059855638,-0.043432529,-1.967000000005492e-06,0.99999963,0.94733851,0.004269538393530775
190,12840833.333333334,6077166.666666667,5153500.0,311050.0,385200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11629776,0.12763302,-0.24394899,-1.8209999999990734e-05,0.9999981,0.94632207,0.002292470156780608
191,13924166.666666668,5673166.666666667,5351500.0,321550.0,404666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.12067442,0.16732724,-0.28802956,-2.7900000000025127e-05,0.99999749,0.98018242,0.0014391338393830511
192,10522500.0,3321166.6666666665,3209500.0,267550.0,411333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11818214,0.089646019,-0.17113866,0.036689499000000014,0.99999777,0.94753723,0.02311059115599429
193,10197500.0,4954500.0,3587500.0,281350.0,448400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10417346,-0.067913667,-0.03626287,-3.0770000000041042e-06,0.99999997,0.95156762,0.003681212525222238
194,11237500.0,6214500.0,5225500.0,269050.0,457466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12600708,-0.22408397,0.1852944,0.08721751,0.99999561,0.99924219,0.043859279119509764
195,10479166.666666668,6270833.333333333,5468500.0,264850.0,449466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11954376,-0.096099445,0.026901197,0.050345511999999995,0.99999993,0.99798726,0.16682070754419082
196,12970833.333333334,6869500.0,5432500.0,335950.0,420400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.1038095,-0.033534802,-0.070275716,-1.0180000000054035e-06,0.99999935,0.94691811,0.0035233933059703637
197,12320833.333333334,6375833.333333334,5027500.0,323950.0,423600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10357335,-0.024675581,-0.078899319,-1.550000000002938e-06,0.99999966,0.94694921,0.003266323185419365
198,7575833.333333333,5624833.333333333,4892500.0,277750.0,434533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.064517902,-0.10715114,0.042633215,-2.3000000001771603e-08,0.99999998,0.99901637,0.2938927132116457
199,10132500.0,5116500.0,4379500.0,303550.0,456133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.088976277,0.050998794,-0.1400188,-4.372899999999236e-05,0.99999977,0.93130439,0.004573398043228201
200,11259166.666666668,4783166.666666667,3929500.0,304750.0,458000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10264475,0.070128001,-0.17517557,-0.0024028190000000005,0.99999964,0.96092055,0.010263209641647366
201,13815833.333333332,4802500.0,3407500.0,295750.0,437733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13601511,0.044416556,-0.17920769,0.0012239759999999877,0.99999947,0.96011187,0.0036455361659035925
202,10934166.666666666,4605833.333333334,3299500.0,332650.0,418533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.084636355,-0.024325054,-0.060316845,-5.5440000000031575e-06,0.99999984,0.94933638,0.006790272330885085
203,8334166.666666667,5602833.333333333,5234500.0,332950.0,434800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.055785753,0.045659291,-0.1014754,-3.0355999999995276e-05,0.99999669,0.94102396,0.002094146202262799
204,9352500.0,4225833.333333333,3227500.0,299650.0,434000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.080024887,-0.01507068,-0.064951682,2.525000000003219e-06,0.99999985,0.94661834,0.004601070741880549
205,11584166.666666668,5390166.666666667,4928500.0,308050.0,384933.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10447581,0.1483082,-0.25279935,-1.5339999999974818e-05,0.99999958,0.97527927,0.0014785911431513562
206,7749166.666666667,4300500.0,4109500.0,332350.0,417200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.051165966,0.10503852,-0.15619027,1.421600000001133e-05,0.99999998,0.97555468,0.0006320490761862754
207,13490833.333333332,4929500.0,4136500.0,272050.0,450800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.148927,0.1011866,-0.20937686,0.040736739999999994,0.99998978,0.97068296,0.019667251038739078
208,11562500.0,5192500.0,3839500.0,319750.0,456400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.09773296,-0.023467181,-0.074265563,2.1599999998345165e-07,0.99999991,0.94804275,0.005227592078589974
209,9135833.333333334,4612833.333333334,3236500.0,271150.0,424133.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.096075306,-0.11445974,0.019091483,0.0007070489999999943,0.99999998,0.99879161,0.4016066794228565
210,11605833.333333334,3877500.0,2930500.0,264250.0,392666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13374286,0.066136606,-0.17290335,0.026976115999999994,0.99999989,0.93386042,0.0008450698964177738
211,8030833.333333333,3965166.6666666665,3461500.0,274750.0,417466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.07450903,0.053178794,-0.12771944,-3.161599999998432e-05,0.99999983,0.93259887,0.005430169568149282
212,11064166.666666666,5724833.333333334,4460500.0,301750.0,393200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10209378,-0.039222399,-0.062872126,-7.44999999996443e-07,0.99999968,0.94486403,0.0033654868886207885
