Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.010144,40.0,0.05,0.01074775,0.0629189406624999,18.3085,0.1002308295625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,1.9968637,0.22870056,-2.2493854,-0.0238211399999999,0.99862409,0.99862409,0.0828780274123715,0.0337937364486213
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.045856,40.0,0.05,0.04413835,0.3906751566025,17.1145,0.3878149915225,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0623448,-4.6631964,2.6004672,-0.0003844000000001,0.99999996,0.99999996,0.1370652124674607,-0.6671751132348942
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.055072,40.0,0.05,0.03435145,0.0535350172525,3.5825,0.0547682343075,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0601381,-0.87941704,-1.1809666,-0.0002455399999998,0.99905033,0.99905033,0.0218060619973472,-0.1259551557984666
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.05968,40.0,0.05,0.02168605,0.0684596069425,16.119500000000002,0.1846924977325,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0525043,2.223621,-4.2762082,-8.289999999977482e-05,0.9999372,0.9999372,0.023654093068875,0.3196642713617412
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.02512,40.0,0.05,0.01247485,0.0032403422875,14.328499999999998,0.0288611892175,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0172412,0.505673,-2.4716897,0.0512244999999995,0.91638914,0.91638914,0.0819546508163685,0.0739655247715687
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.047584,40.0,0.05,0.02917015,0.1183126698925,15.9205,0.1881168388424999,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,2.0510497,1.0069805,-3.0580526,-2.239999999975595e-05,0.9999375,0.9999375,0.0299924853217285,0.1448646039643522
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.01936,40.0,0.05,0.02283745,0.1907303892925,1.9905,0.1821800480125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0245765,3.0899761,-5.1148494,-0.0002968,0.99999816,0.99999816,0.0238599884941708,0.4503377314366303
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.025696,40.0,0.05,0.05162245,0.5136459586225,0.7965,0.4257277640275,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0565817,-9.4223802,7.3792199,0.0134214000000012,0.99999998,0.99999998,0.0850224768831684,-1.3518610781066331
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.0136,40.0,0.05,0.01765615,0.1421664369925,6.9655,0.0868797344975,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0127595,1.5814399,-3.5940247,0.0001747,0.99937141,0.99937141,0.0808378724381258,0.2318345793381266
11000000.0,3900000.0,3500000.0,303000.0,439300.0,0.01,0.05,0.0085,0.0064,4.0,30.0,0.0568,40.0,0.05,0.04471405,0.4270392988225001,10.1495,0.1356065351375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,2.0666702,-4.3436498,2.2766724,-0.0003071999999999,0.99999996,0.99999996,0.1538922782577905,-0.6201561192511174
