,Unnamed: 0,Dmix,Lmix,X,pressure
34,34,0.0035,0.02,0.0536723999999999,3295622.0
35,35,0.0035,0.02,0.055677975,3415967.0
36,36,0.0035,0.02,0.05759305,3495443.5
37,37,0.0035,0.02,0.059588875,3555423.0
38,38,0.0035,0.02,0.06159446,3600838.5
39,39,0.0035,0.02,0.06360004,3635759.0
40,40,0.0035,0.02,0.06560558,3663128.5
41,41,0.0035,0.02,0.06756608,3684505.0
42,42,0.0035,0.02,0.0695163999999999,3701552.5
43,43,0.0035,0.02,0.07152195,3715926.5
44,44,0.0035,0.02,0.073527555,3727807.5
45,45,0.0035,0.02,0.075533205,3737716.0
46,46,0.0035,0.02,0.0775388549999999,3746054.5
47,47,0.0035,0.02,0.0795445299999999,3753121.5
48,48,0.0035,0.02,0.081550235,3759158.5
49,49,0.0035,0.02,0.08355599,3764341.5
50,50,0.0035,0.02,0.085561795,3768817.0
51,51,0.0035,0.02,0.087567635,3772700.0
52,52,0.0035,0.02,0.08957352,3776082.0
53,53,0.0035,0.02,0.0915794499999999,3779042.0
54,54,0.0035,0.02,0.0935854499999999,3781639.0
55,55,0.0035,0.02,0.09559154,3783926.5
56,56,0.0035,0.02,0.097597705,3785940.5
57,57,0.0035,0.02,0.09960399,3787716.0
58,58,0.0035,0.02,0.10158035,3789318.5
59,59,0.0035,0.02,0.10351685,3790723.5
60,60,0.0035,0.02,0.1055234999999999,3792005.5
61,61,0.0035,0.02,0.1075301499999999,3793129.0
62,62,0.0035,0.02,0.1095364499999999,3794103.5
63,63,0.0035,0.02,0.1115425999999999,3794957.5
64,64,0.0035,0.02,0.11354855,3795715.5
65,65,0.0035,0.02,0.1155545,3796389.0
66,66,0.0035,0.02,0.1175603,3796994.5
67,67,0.0035,0.02,0.1195659999999999,3797537.5
68,68,0.0035,0.02,0.1215716999999999,3798028.5
69,69,0.0035,0.02,0.12357745,3798473.5
70,70,0.0035,0.02,0.125583,3798877.0
71,71,0.0035,0.02,0.1275886,3799244.0
72,72,0.0035,0.02,0.12959405,3799577.0
73,73,0.0035,0.02,0.13163575,3799840.0
74,74,0.0035,0.02,0.13397885,3799948.5
75,75,0.0035,0.02,0.1363885,3799971.5
76,76,0.0035,0.02,0.1387984,3799985.5
0,0,0.004,0.01,0.00351854375,8499342.5
1,1,0.004,0.01,0.010185317,8499268.5
2,2,0.004,0.01,0.0140822799999999,8497873.5
3,3,0.004,0.01,0.01772882,8490804.5
4,4,0.004,0.01,0.0213756999999999,8392771.5
5,5,0.004,0.01,0.0242615849999999,6469939.5
6,6,0.004,0.01,0.025491005,5316532.5
7,7,0.004,0.01,0.026411215,3765903.5
8,8,0.004,0.01,0.026931125,3225631.5
9,9,0.004,0.01,0.0274739299999999,3228737.0
10,10,0.004,0.01,0.028067525,3269178.5
11,11,0.004,0.01,0.0286224949999999,3425081.5
12,12,0.004,0.01,0.02913072,3208671.0
13,13,0.004,0.01,0.02967072,3172601.0
14,14,0.004,0.01,0.030258655,3243750.0
15,15,0.004,0.01,0.030921935,2990586.5
16,16,0.004,0.01,0.03176431,2930767.5
