,Unnamed: 0,Dmix,Lmix,X,velocity
16,16,0.003,0.03,0.0356430499999999,139.48295000000002
17,17,0.003,0.03,0.036847885,136.15715000000003
18,18,0.003,0.03,0.038052715,132.21095000000005
19,19,0.003,0.03,0.039222595,127.94505
20,20,0.003,0.03,0.040624465,121.84050000000002
21,21,0.003,0.03,0.042601265,111.68695
22,22,0.003,0.03,0.044603665,100.951245
23,23,0.003,0.03,0.0466061549999999,89.59338
24,24,0.003,0.03,0.0486087449999999,77.83995000000002
25,25,0.003,0.03,0.05057789,66.23791500000002
26,26,0.003,0.03,0.0525143,55.93077000000001
27,27,0.003,0.03,0.05451714,47.95521500000001
28,28,0.003,0.03,0.05643948,42.49760500000001
29,29,0.003,0.03,0.05842227,38.43462
30,30,0.003,0.03,0.0604247899999999,35.238865
31,31,0.003,0.03,0.0624272749999999,32.621145
32,32,0.003,0.03,0.064429735,30.40265
33,33,0.003,0.03,0.06643219,28.481694999999995
34,34,0.003,0.03,0.068434615,26.7943
35,35,0.003,0.03,0.0704370299999999,25.29673
36,36,0.003,0.03,0.072439445,23.957295
37,37,0.003,0.03,0.074441865,22.751725
38,38,0.003,0.03,0.07644428,21.66061
39,39,0.003,0.03,0.0784467,20.668325000000003
40,40,0.003,0.03,0.0804491199999999,19.761460000000003
41,41,0.003,0.03,0.08245154,18.92795
42,42,0.003,0.03,0.084453955,18.15635
43,43,0.003,0.03,0.086456375,17.43487
44,44,0.003,0.03,0.088458795,16.751225000000005
45,45,0.003,0.03,0.090461235,16.097415
46,46,0.003,0.03,0.092433925,15.482675
47,47,0.003,0.03,0.0943659899999999,14.913524999999998
48,48,0.003,0.03,0.096368435,14.355055000000002
49,49,0.003,0.03,0.09837087,13.827905
50,50,0.003,0.03,0.10037324,13.331645
51,51,0.003,0.03,0.1023757999999999,12.86593
52,52,0.003,0.03,0.10437815,12.43012
53,53,0.003,0.03,0.10638065,12.022885
54,54,0.003,0.03,0.1083831,11.642655
55,55,0.003,0.03,0.1103854999999999,11.28835
56,56,0.003,0.03,0.112388,10.961605
57,57,0.003,0.03,0.11439025,10.67086
58,58,0.003,0.03,0.1164486,10.429085
59,59,0.003,0.03,0.1188124999999999,10.23454
60,60,0.003,0.03,0.121222,10.096255
61,61,0.003,0.03,0.12363165,9.98404
0,0,0.003,0.04,0.0045239031499999,1.3723335
1,1,0.003,0.04,0.0118673015,1.9205605
2,2,0.003,0.04,0.016305915,4.096555
3,3,0.003,0.04,0.02073408,16.229401000000003
4,4,0.003,0.04,0.023989015,76.81075000000001
5,5,0.003,0.04,0.0254172599999999,104.06888
6,6,0.003,0.04,0.026415915,154.12815
7,7,0.003,0.04,0.02726578,173.114
8,8,0.003,0.04,0.0281177099999999,113.00050000000002
9,9,0.003,0.04,0.0289652,175.33105000000003
10,10,0.003,0.04,0.029888085,124.21860000000004
11,11,0.003,0.04,0.031053845,144.88055000000003
12,12,0.003,0.04,0.03235537,140.17334999999997
13,13,0.003,0.04,0.0336585799999999,134.97615
14,14,0.003,0.04,0.0349906199999999,129.43474999999998
15,15,0.003,0.04,0.0363420649999999,121.40619999999998
16,16,0.003,0.04,0.0376626699999999,111.20585
17,17,0.003,0.04,0.0389775599999999,99.794405
18,18,0.003,0.04,0.0404077599999999,86.188855
19,19,0.003,0.04,0.042299285,68.539155
20,20,0.003,0.04,0.0442319199999999,54.559295
21,21,0.003,0.04,0.046140625,45.511210000000005
22,22,0.003,0.04,0.048144025,39.526065
23,23,0.003,0.04,0.050147215,35.38678
24,24,0.003,0.04,0.052150325,32.256285000000005
25,25,0.003,0.04,0.05415335,29.73244500000001
26,26,0.003,0.04,0.05615635,27.60415
27,27,0.003,0.04,0.05815939,25.75794
28,28,0.003,0.04,0.0601623999999999,24.132065
29,29,0.003,0.04,0.0621653999999999,22.684655000000003
30,30,0.003,0.04,0.0641683999999999,21.385735
31,31,0.003,0.04,0.0661714,20.212794999999996
32,32,0.003,0.04,0.0681744,19.14798
33,33,0.003,0.04,0.07017744,18.17706
34,34,0.003,0.04,0.07218045,17.287714999999995
35,35,0.003,0.04,0.07418345,16.4691
36,36,0.003,0.04,0.07618646,15.711515
37,37,0.003,0.04,0.0781895,15.006825000000005
38,38,0.003,0.04,0.0801925,14.3495
39,39,0.003,0.04,0.0821955,13.736014999999998
40,40,0.003,0.04,0.0841985349999999,13.163330000000002
41,41,0.003,0.04,0.0862015499999999,12.62839
42,42,0.003,0.04,0.08820449,12.1284
43,43,0.003,0.04,0.09020744,11.66091
44,44,0.003,0.04,0.0922104,11.223720000000002
45,45,0.003,0.04,0.09421335,10.81489
46,46,0.003,0.04,0.096216305,10.43249
47,47,0.003,0.04,0.0982192649999999,10.074646
48,48,0.003,0.04,0.1002221899999999,9.7396205
49,49,0.003,0.04,0.1022251999999999,9.4258585
50,50,0.003,0.04,0.1042281499999999,9.132292
51,51,0.003,0.04,0.1062311,8.859156500000001
52,52,0.003,0.04,0.10823405,8.610387000000001
53,53,0.003,0.04,0.11023695,8.398226500000002
54,54,0.003,0.04,0.1123781499999999,8.235258
55,55,0.003,0.04,0.1147816,8.1284075
56,56,0.003,0.04,0.1171913,8.065216999999999
