,Unnamed: 0,Dmix,Lmix,X,velocity
37,37,0.0035,0.02,0.053389135,34.741204999999994
38,38,0.0035,0.02,0.055395775,31.45122
39,39,0.0035,0.02,0.0574024199999999,28.641535
40,40,0.0035,0.02,0.0594090599999999,26.218925
41,41,0.0035,0.02,0.0614157199999999,24.1145
42,42,0.0035,0.02,0.0634224249999999,22.276190000000003
43,43,0.0035,0.02,0.065429135,20.663380000000004
44,44,0.0035,0.02,0.0674358799999999,19.243205000000003
45,45,0.0035,0.02,0.06944262,17.988155
46,46,0.0035,0.02,0.071449405,16.874729999999996
47,47,0.0035,0.02,0.07345625,15.882770000000002
48,48,0.0035,0.02,0.07546309,14.99538
49,49,0.0035,0.02,0.077469965,14.198905000000002
50,50,0.0035,0.02,0.0794769049999999,13.48203
51,51,0.0035,0.02,0.08148384,12.835555
52,52,0.0035,0.02,0.08349078,12.253025
53,53,0.0035,0.02,0.085497745,11.733065
54,54,0.0035,0.02,0.08750482,11.279330000000002
55,55,0.0035,0.02,0.08951195,10.890075
56,56,0.0035,0.02,0.0915192349999999,10.556565
57,57,0.0035,0.02,0.093526505,10.248425
58,58,0.0035,0.02,0.09553361,9.919462
59,59,0.0035,0.02,0.09754058,9.564102
60,60,0.0035,0.02,0.09954745,9.196230000000002
61,61,0.0035,0.02,0.10155415,8.827542000000003
62,62,0.0035,0.02,0.1035610999999999,8.465157999999999
63,63,0.0035,0.02,0.1055678499999999,8.113084500000001
64,64,0.0035,0.02,0.10757445,7.7734795
65,65,0.0035,0.02,0.10958085,7.447408499999999
66,66,0.0035,0.02,0.1115874999999999,7.135216500000001
67,67,0.0035,0.02,0.11359415,6.8365025
68,68,0.0035,0.02,0.11560085,6.549122000000001
69,69,0.0035,0.02,0.1176072499999999,6.2636205
70,70,0.0035,0.02,0.11967995,6.026745999999999
71,71,0.0035,0.02,0.1220534499999999,6.091063
72,72,0.0035,0.02,0.124463,6.168106000000001
73,73,0.0035,0.02,0.1268726999999999,6.232808
0,0,0.0035,0.03,0.0011074711,7.671403499999999
1,1,0.0035,0.03,0.003848414,9.0164625
2,2,0.0035,0.03,0.0067038385,10.7758325
3,3,0.0035,0.03,0.0095567055,13.357285
4,4,0.0035,0.03,0.012401425,17.545965
5,5,0.0035,0.03,0.0141534499999999,21.038495
6,6,0.0035,0.03,0.014980335,21.87106
7,7,0.0035,0.03,0.015794355,23.907345
8,8,0.0035,0.03,0.016597505,29.65401
9,9,0.0035,0.03,0.017407595,40.6052
10,10,0.0035,0.03,0.018251075,55.44697000000001
11,11,0.0035,0.03,0.019360015,61.01709999999999
12,12,0.0035,0.03,0.020561355,64.547795
13,13,0.0035,0.03,0.021762575,67.342945
14,14,0.0035,0.03,0.022963795,69.29218
15,15,0.0035,0.03,0.024165015,70.88310500000001
16,16,0.0035,0.03,0.025366255,71.79086
17,17,0.0035,0.03,0.02656553,70.62962
18,18,0.0035,0.03,0.02770898,67.92778999999999
19,19,0.0035,0.03,0.02888433,65.75095999999999
20,20,0.0035,0.03,0.030052045,64.55844499999999
21,21,0.0035,0.03,0.031202945,64.41368000000001
22,22,0.0035,0.03,0.032394885,65.12163
23,23,0.0035,0.03,0.03355154,66.048995
24,24,0.0035,0.03,0.034737455,67.205775
25,25,0.0035,0.03,0.03593871,68.51675
26,26,0.0035,0.03,0.03713951,69.81547
27,27,0.0035,0.03,0.03836137,69.93308999999999
28,28,0.0035,0.03,0.040242855,62.514745000000005
29,29,0.0035,0.03,0.04224736,55.56125000000001
30,30,0.0035,0.03,0.044251965,49.87682
31,31,0.0035,0.03,0.046256445,45.141605000000006
32,32,0.0035,0.03,0.04826079,41.04964
33,33,0.0035,0.03,0.0502650449999999,37.4573
34,34,0.0035,0.03,0.05226928,34.29058
35,35,0.0035,0.03,0.054266575,31.48755
36,36,0.0035,0.03,0.0561774049999999,29.134210000000003
37,37,0.0035,0.03,0.05818155,26.908455
38,38,0.0035,0.03,0.060185705,24.905005
39,39,0.0035,0.03,0.06218986,23.098080000000003
40,40,0.0035,0.03,0.06419397,21.465620000000005
41,41,0.0035,0.03,0.06619807,19.988565
42,42,0.0035,0.03,0.0682021749999999,18.650235
43,43,0.0035,0.03,0.07020628,17.436000000000003
44,44,0.0035,0.03,0.0722103799999999,16.333154999999998
45,45,0.0035,0.03,0.074214485,15.330445
46,46,0.0035,0.03,0.0762185849999999,14.418029999999998
47,47,0.0035,0.03,0.078222735,13.58729
48,48,0.0035,0.03,0.0802269699999999,12.830255
49,49,0.0035,0.03,0.0822311949999999,12.139725000000002
50,50,0.0035,0.03,0.0842354199999999,11.509060000000002
51,51,0.0035,0.03,0.086239655,10.93218
52,52,0.0035,0.03,0.088243885,10.403555
53,53,0.0035,0.03,0.090248135,9.918135500000002
54,54,0.0035,0.03,0.092252485,9.4716275
55,55,0.0035,0.03,0.09425686,9.060659
56,56,0.0035,0.03,0.096261245,8.682257
57,57,0.0035,0.03,0.09826562,8.332780500000002
58,58,0.0035,0.03,0.10027,8.0080625
59,59,0.0035,0.03,0.10227455,7.7053605
60,60,0.0035,0.03,0.10427895,7.4212215
61,61,0.0035,0.03,0.1062833,7.150376499999998
62,62,0.0035,0.03,0.1082875999999999,6.889032
63,63,0.0035,0.03,0.11029185,6.6351005
64,64,0.0035,0.03,0.1122958999999999,6.3849
65,65,0.0035,0.03,0.11432105,6.1527855
66,66,0.0035,0.03,0.1166385,6.1605765
67,67,0.0035,0.03,0.11904825,6.25548
68,68,0.0035,0.03,0.1214579,6.3354135
0,0,0.0035,0.04,0.0010900159,4.884094
